1일 뒤 종가,2일 뒤 종가,3일 뒤 종가,4일 뒤 종가,5일 뒤 종가,거래량,개인,기관,외인수량,외국계,프로그램,공시-변동 차이,변동전,증감,보고구분_변동,보고구분_신규,보고자 구분_개인(국내),보고자 구분_개인(외국),보고자 구분_연기금등 전문투자자,임원_-,임원_등기임원,임원_비등기임원,직위명_ 상무,직위명_-,직위명_대표이사 부회장,직위명_대표이사 사장,직위명_대표이사부회장,직위명_대표이사회장,직위명_부사장,직위명_부회장,직위명_사외이사,직위명_사장,직위명_상무,직위명_상임고문,직위명_전무,직위명_회장,주요주주_-,주요주주_10%이상주주,주요주주_사실상지배주주,변동사유_계열사편입(+),변동사유_기타(+),변동사유_기타(-),변동사유_상속(+),변동사유_시간외매매(-),변동사유_신규등록(+),변동사유_신규보고(+),변동사유_신규선임(+),변동사유_신규주요주주(+),변동사유_임원퇴임(-),변동사유_장내매도(-),변동사유_장내매수(+),변동사유_장외매도(-),변동사유_주식매수선택권(+),변동사유_주식분할,변동사유_증여(-),변동사유_피상속(-),특정증권등의 종류_기타,특정증권등의 종류_보통주,특정증권등의 종류_우선주,상장주식수,년,월,일,요일
0.0,0.0,0.0,1.0,1.0,0.4212567005476607,0.0016304613976266,0.0018948428866977,-0.065909804369675,-0.0037537045633261,-0.0028784465524627,29,1.1390699649520734e-05,1.6751028896354025e-06,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5969782550.0,2022,6,21,1
0.0,0.0,0.0,1.0,1.0,0.4212567005476607,0.0016304613976266,0.0018948428866977,-0.065909804369675,-0.0037537045633261,-0.0028784465524627,8,9.715596759885332e-06,1.6751028896354025e-06,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,6,21,1
0.0,0.0,0.0,1.0,1.0,0.4212567005476607,0.0016304613976266,0.0018948428866977,-0.065909804369675,-0.0037537045633261,-0.0028784465524627,4,0.0,3.350205779270804e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,6,21,1
0.0,0.0,0.0,0.0,0.0,0.4866751804887767,0.0064842730326919,0.0006100222193185,-0.1286588068438104,-0.0087461142114799,-0.0063644696740252,2,0.0,5.025308668906207e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,6,17,4
0.0,0.0,0.0,0.0,0.0,0.3918885621721682,0.0007051513124209,-0.0002304271534982,-0.0178230779946917,-0.0005168864986547,-0.0003653231892005,6,0.0,2.5126543344531032e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,6,16,3
1.0,0.0,0.0,0.0,0.0,0.4491155879706204,0.0038090332117708,0.0005281766921309,-0.0735955617009869,-0.0043521518216773,-0.0043973125955818,1,0.0,3.350205779270804e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,6,15,2
1.0,0.0,0.0,0.0,0.0,0.4491155879706204,0.0038090332117708,0.0005281766921309,-0.0735955617009869,-0.0043521518216773,-0.0043973125955818,0,0.0,1.675102889635402e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5969782550.0,2022,6,15,2
0.0,0.0,0.0,0.0,0.0,0.4121828357047946,0.000617694190553,0.0003935486728909,-0.0181067566690515,-0.0010399373759434,0.0004205513314718,5,0.0,3.768981501679655e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,6,14,1
0.0,0.0,0.0,0.0,0.0,0.4121828357047946,0.000617694190553,0.0003935486728909,-0.0181067566690515,-0.0010399373759434,0.0004205513314718,4,0.0,1.675102889635402e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,6,14,1
0.0,0.0,0.0,0.0,0.0,0.3711662160960954,0.0033641091332547,-0.0005350278629495,-0.0506884794321361,-0.0029646305961345,-0.0021190721595043,4,3.350205779270804e-05,1.675102889635402e-05,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,6,13,0
0.0,0.0,0.0,0.0,0.0,0.3711662160960954,0.0033641091332547,-0.0005350278629495,-0.0506884794321361,-0.0029646305961345,-0.0021190721595043,0,6.700411558541609e-05,1.675102889635402e-05,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,6,13,0
0.0,0.0,0.0,0.0,0.0,0.3711662160960954,0.0033641091332547,-0.0005350278629495,-0.0506884794321361,-0.0029646305961345,-0.0021190721595043,0,5.025308668906207e-05,1.675102889635402e-05,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,6,13,0
0.0,0.0,0.0,0.0,0.0,0.3717648308647356,0.0111721154734522,-0.0012160409427308,-0.1366171369173237,-0.0053133761128368,-0.0051003867804196,10,0.0,8.37551444817701e-06,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5969782550.0,2022,6,10,4
0.0,0.0,0.0,0.0,0.0,0.2091061088983886,0.0037688809955062,-0.000432963843884,-0.0437250767199217,-0.0035735807496036,-0.0019625672965257,6,0.0,3.730454135218041e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5969782550.0,2022,6,8,2
0.0,0.0,0.0,0.0,0.0,0.2091061088983886,0.0037688809955062,-0.000432963843884,-0.0437250767199217,-0.0035735807496036,-0.0019625672965257,6,0.0,2.9247296453034124e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5969782550.0,2022,6,8,2
0.0,0.0,0.0,0.0,0.0,0.4081388525617235,0.0022552412734028,-0.0039469779347323,2.691890343644091e-05,0.0015989192102147,0.0013672524805782,0,0.0,4.522777802015586e-06,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,5,31,1
0.0,0.0,0.0,0.0,0.0,0.2387940244155124,-0.0031518735971379,0.0013804690423774,0.0134345931913382,0.0018771538001832,0.0020149477638846,7,8.04049387024993e-06,1.6751028896354025e-06,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5969782550.0,2022,5,30,0
0.0,0.0,0.0,0.0,0.0,0.2387940244155124,-0.0031518735971379,0.0013804690423774,0.0134345931913382,0.0018771538001832,0.0020149477638846,7,6.365390980614528e-06,1.6751028896354025e-06,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,5,30,0
0.0,0.0,0.0,0.0,0.0,0.2387940244155124,-0.0031518735971379,0.0013804690423774,0.0134345931913382,0.0018771538001832,0.0020149477638846,7,0.0,1.2228251094338436e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,5,30,0
0.0,0.0,0.0,0.0,0.0,0.2387940244155124,-0.0031518735971379,0.0013804690423774,0.0134345931913382,0.0018771538001832,0.0020149477638846,7,0.0,1.2228251094338436e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,5,30,0
1.0,1.0,1.0,1.0,0.0,0.1910547813839551,-0.0008250049241743,0.0025323702954641,-0.0224497959310092,-0.0016988223465526,-0.0010347110549277,1,0.0,3.350205779270804e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,5,27,4
1.0,1.0,1.0,1.0,1.0,0.2675288398904915,0.0034937285948547,-0.0021830778409173,-0.0244602711701785,-0.0005486632004711,-0.0001031528359437,3,3.8527366461614254e-05,7.53796300335931e-05,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,5,26,3
0.0,1.0,1.0,1.0,1.0,0.2537862957839226,0.0015197705986795,0.0009852620176257,-0.0397466906060087,-0.0023834368975466,-0.0010518138554309,0,6.097374518272864e-06,2.4707767622122183e-05,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,5,25,2
0.0,0.0,0.0,0.0,0.0,0.2292225535082513,0.0003914882963366,-3.7019773860942394e-06,-0.0108947016838996,-0.000530253819714,-0.000524273702398,5,0.0,8.37551444817701e-06,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,5,23,0
0.0,0.0,0.0,0.0,0.0,0.2292225535082513,0.0003914882963366,-3.7019773860942394e-06,-0.0108947016838996,-0.000530253819714,-0.000524273702398,4,8.37551444817701e-06,1.675102889635402e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,5,23,0
0.0,0.0,0.0,0.0,0.0,0.2292225535082513,0.0003914882963366,-3.7019773860942394e-06,-0.0108947016838996,-0.000530253819714,-0.000524273702398,3,2.5126543344531032e-05,2.5126543344531032e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,5,23,0
0.0,0.0,0.0,0.0,0.0,0.2028494488463403,-0.0011500753909369,0.0028156469451303,-0.0223620875437079,-0.0014170030364003,-0.0019707250475982,1,0.0,5.025308668906207e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,5,20,4
